"","Player1","Opponent1","Gender","Category","Matches","Wins","Losses","Points For","Points Against","Difference","Year","Player2","Opponent2"
"217","Aaron CHIA","Mohammad AHSAN","Men","Doubles",3,2,1,131,129,2,2022,"SOH Wooi Yik","Hendra SETIAWAN"
"218","Fajar ALFIAN","M.R. ARJUN","Men","Doubles",3,3,0,129,101,28,2022,"Muhammad Rian ARDIANTO","DHRUV KAPILA"
"219","Fajar ALFIAN","Akira KOGA","Men","Doubles",3,3,0,128,105,23,2022,"Muhammad Rian ARDIANTO","Taichi SAITO"
"220","LIU Yuchen","Christo POPOV","Men","Doubles",2,2,0,122,108,14,2022,"OU Xuanyi","Toma Junior POPOV"
"221","Muhammad Shohibul FIKRI","GOH Sze Fei","Men","Doubles",2,2,0,121,113,8,2022,"Bagas MAULANA","Nur IZZUDDIN"
"222","Fajar ALFIAN","HEE Yong Kai Terry","Men","Doubles",2,2,0,119,98,21,2022,"Muhammad Rian ARDIANTO","LOH Kean Hean"
"223","LIU Yuchen","ONG Yew Sin","Men","Doubles",3,2,1,118,112,6,2022,"OU Xuanyi","TEO Ee Yi"
"224","Ruben JILLE","Christo POPOV","Men","Doubles",2,2,0,117,110,7,2022,"Ties VAN DER LECQ","Toma Junior POPOV"
"225","Takuro HOKI","Muhammad Shohibul FIKRI","Men","Doubles",2,1,1,117,112,5,2022,"Yugo KOBAYASHI","Bagas MAULANA"
"226","Dechapol PUAVARANUKROH","WANG Yilyu","Mixed","Doubles",5,5,0,249,204,45,2022,"Sapsiree TAERATTANACHAI","HUANG Dongping"
"227","ZHENG Siwei","Yuta WATANABE","Mixed","Doubles",4,3,1,205,165,40,2022,"HUANG Yaqiong","Arisa HIGASHINO"
"228","ZHENG Siwei","WANG Yilyu","Mixed","Doubles",4,3,1,179,147,32,2022,"HUANG Yaqiong","HUANG Dongping"
"229","ZHENG Siwei","Thom GICQUEL","Mixed","Doubles",4,4,0,174,120,54,2022,"HUANG Yaqiong","Delphine DELRUE"
"230","GOH Soon Huat","TAN Kian Meng","Mixed","Doubles",3,3,0,170,159,11,2022,"LAI Shevon Jemie","LAI Pei Jing"
"231","Thom GICQUEL","Jones Ralfy JANSEN","Mixed","Doubles",3,3,0,164,137,27,2022,"Delphine DELRUE","Linda EFLER"
"232","ZHENG Siwei","Mathias CHRISTIANSEN","Mixed","Doubles",3,3,0,163,131,32,2022,"HUANG Yaqiong","Alexandra BØJE"
"233","ZHENG Siwei","Dechapol PUAVARANUKROH","Mixed","Doubles",3,3,0,162,131,31,2022,"HUANG Yaqiong","Sapsiree TAERATTANACHAI"
"234","Rehan Naufal KUSHARJANTO","Thom GICQUEL","Mixed","Doubles",3,3,0,161,132,29,2022,"Lisa Ayu KUSUMAWATI","Delphine DELRUE"
"235","Yuta WATANABE","GOH Soon Huat","Mixed","Doubles",4,3,1,158,128,30,2022,"Arisa HIGASHINO","LAI Shevon Jemie"
"236","ZHENG Siwei","Supak JOMKOH","Mixed","Doubles",3,3,0,145,98,47,2022,"HUANG Yaqiong","Supissara PAEWSAMPRAN"
"237","Supak JOMKOH","Zachariah Josiahno SUMANTI","Mixed","Doubles",3,2,1,144,133,11,2022,"Supissara PAEWSAMPRAN","Hediana JULIMARBELA"
"238","Marcus ELLIS","Rinov RIVALDY","Mixed","Doubles",3,3,0,142,125,17,2022,"Lauren SMITH","Pitha Haningtyas MENTARI"
"239","Mathias CHRISTIANSEN","TAN Kian Meng","Mixed","Doubles",3,1,2,132,129,3,2022,"Alexandra BØJE","LAI Pei Jing"
"240","Mark LAMSFUSS","Rehan Naufal KUSHARJANTO","Mixed","Doubles",3,2,1,131,125,6,2022,"Isabel HERTTRICH","Lisa Ayu KUSUMAWATI"
"241","Dechapol PUAVARANUKROH","Supak JOMKOH","Mixed","Doubles",3,3,0,131,97,34,2022,"Sapsiree TAERATTANACHAI","Supissara PAEWSAMPRAN"
"242","Mathias CHRISTIANSEN","HEE Yong Kai Terry","Mixed","Doubles",3,3,0,127,99,28,2022,"Alexandra BØJE","TAN Wei Han"
"243","WANG Yilyu","Rinov RIVALDY","Mixed","Doubles",3,3,0,126,85,41,2022,"HUANG Dongping","Pitha Haningtyas MENTARI"
"244","ZHENG Siwei","TAN Kian Meng","Mixed","Doubles",3,3,0,126,73,53,2022,"HUANG Yaqiong","LAI Pei Jing"
"245","Rinov RIVALDY","Jones Ralfy JANSEN","Mixed","Doubles",2,2,0,121,100,21,2022,"Pitha Haningtyas MENTARI","Linda EFLER"
"246","Thom GICQUEL","Mark LAMSFUSS","Mixed","Doubles",2,1,1,121,113,8,2022,"Delphine DELRUE","Isabel HERTTRICH"
"247","Dechapol PUAVARANUKROH","GOH Soon Huat","Mixed","Doubles",2,1,1,118,108,10,2022,"Sapsiree TAERATTANACHAI","LAI Shevon Jemie"
"248","ZHENG Siwei","YANG Po-Hsuan","Mixed","Doubles",2,2,0,118,102,16,2022,"HUANG Yaqiong","HU Ling Fang"
"249","Yuta WATANABE","Mathias CHRISTIANSEN","Mixed","Doubles",2,1,1,118,113,5,2022,"Arisa HIGASHINO","Alexandra BØJE"
"250","Yuki KANEKO","Robin TABELING","Mixed","Doubles",2,2,0,114,105,9,2022,"Misaki MATSUTOMO","Selena PIEK"
"251","Akane YAMAGUCHI","Se Young AN","Women","Singles",6,4,2,281,274,7,2021,NA,NA
"252","Akane YAMAGUCHI","Pornpawee CHOCHUWONG","Women","Singles",4,3,1,210,207,3,2021,NA,NA
"253","Mia BLICHFELDT","Yvonne LI","Women","Singles",4,3,1,187,181,6,2021,NA,NA
"254","Akane YAMAGUCHI","PUSARLA V. Sindhu","Women","Singles",4,1,3,186,180,6,2021,NA,NA
"255","PUSARLA V. Sindhu","Busanan ONGBAMRUNGPHAN","Women","Singles",4,4,0,182,147,35,2021,NA,NA
"256","TAI Tzu Ying","Ratchanok INTANON","Women","Singles",3,3,0,177,157,20,2021,NA,NA
"257","Se Young AN","Pornpawee CHOCHUWONG","Women","Singles",4,4,0,172,132,40,2021,NA,NA
"258","Pornpawee CHOCHUWONG","PUSARLA V. Sindhu","Women","Singles",4,2,2,168,157,11,2021,NA,NA
"259","Neslihan YIGIT","Yvonne LI","Women","Singles",3,2,1,159,150,9,2021,NA,NA
"260","Carolina MARIN","Pornpawee CHOCHUWONG","Women","Singles",3,3,0,146,102,44,2021,NA,NA
"261","TAI Tzu Ying","PUSARLA V. Sindhu","Women","Singles",3,3,0,145,110,35,2021,NA,NA
"262","PUSARLA V. Sindhu","Mia BLICHFELDT","Women","Singles",3,2,1,143,121,22,2021,NA,NA
"263","Ratchanok INTANON","PUSARLA V. Sindhu","Women","Singles",3,3,0,141,97,44,2021,NA,NA
"264","Akane YAMAGUCHI","KIM Ga Eun","Women","Singles",3,3,0,140,127,13,2021,NA,NA
"265","Carolina MARIN","Se Young AN","Women","Singles",3,2,1,140,124,16,2021,NA,NA
"266","Carolina MARIN","TAI Tzu Ying","Women","Singles",3,2,1,132,117,15,2021,NA,NA
"267","Pornpawee CHOCHUWONG","Line CHRISTOPHERSEN","Women","Singles",3,3,0,129,90,39,2021,NA,NA
"268","PUSARLA V. Sindhu","Neslihan YIGIT","Women","Singles",3,3,0,126,80,46,2021,NA,NA
"269","PUSARLA V. Sindhu","Line CHRISTOPHERSEN","Women","Singles",3,3,0,126,74,52,2021,NA,NA
"270","Se Young AN","Evgeniya KOSETSKAYA","Women","Singles",3,3,0,126,73,53,2021,NA,NA
"271","Se Young AN","Phittayaporn CHAIWAN","Women","Singles",3,3,0,126,73,53,2021,NA,NA
"272","Pornpawee CHOCHUWONG","Gregoria Mariska TUNJUNG","Women","Singles",2,2,0,110,91,19,2021,NA,NA
"273","Akane YAMAGUCHI","Line Højmark KJAERSFELDT","Women","Singles",2,2,0,105,76,29,2021,NA,NA
"274","Akane YAMAGUCHI","YEO Jia Min","Women","Singles",2,2,0,103,75,28,2021,NA,NA
"275","Evgeniya KOSETSKAYA","PAI Yu Po","Women","Singles",2,2,0,103,80,23,2021,NA,NA
"276","KIM So Yeong","Jongkolphan KITITHARAKUL","Women","Doubles",6,5,1,302,254,48,2021,"KONG Hee Yong","Rawinda PRAJONGJAI"
"277","LEE So Hee","KIM So Yeong","Women","Doubles",6,4,2,268,267,1,2021,"SHIN Seung Chan","KONG Hee Yong"
"278","Jongkolphan KITITHARAKUL","Ashwini PONNAPPA","Women","Doubles",5,5,0,212,142,70,2021,"Rawinda PRAJONGJAI","REDDY N. Sikki"
"279","Greysia POLII","TAN Pearly Koong Le","Women","Doubles",4,4,0,203,163,40,2021,"Apriyani RAHAYU","Muralitharan THINAAH"
"280","Greysia POLII","LEE So Hee","Women","Doubles",4,3,1,197,186,11,2021,"Apriyani RAHAYU","SHIN Seung Chan"
"281","KIM So Yeong","Linda EFLER","Women","Doubles",4,4,0,187,107,80,2021,"KONG Hee Yong","Isabel HERTTRICH"
"282","Greysia POLII","Jongkolphan KITITHARAKUL","Women","Doubles",4,4,0,185,143,42,2021,"Apriyani RAHAYU","Rawinda PRAJONGJAI"
"283","Puttita SUPAJIRAKUL","Siti Fadia Silva RAMADHANTI","Women","Doubles",4,2,2,171,167,4,2021,"Sapsiree TAERATTANACHAI","Ribka SUGIARTO"
"284","Jongkolphan KITITHARAKUL","Gabriela STOEVA","Women","Doubles",4,2,2,163,156,7,2021,"Rawinda PRAJONGJAI","Stefani STOEVA"
"285","Greysia POLII","Puttita SUPAJIRAKUL","Women","Doubles",3,2,1,151,132,19,2021,"Apriyani RAHAYU","Sapsiree TAERATTANACHAI"
"286","Nami MATSUYAMA","Puttita SUPAJIRAKUL","Women","Doubles",3,3,0,148,122,26,2021,"Chiharu SHIDA","Sapsiree TAERATTANACHAI"
"287","Nami MATSUYAMA","TAN Pearly Koong Le","Women","Doubles",3,3,0,146,112,34,2021,"Chiharu SHIDA","Muralitharan THINAAH"
"288","Nami MATSUYAMA","Chloe BIRCH","Women","Doubles",4,3,1,145,107,38,2021,"Chiharu SHIDA","Lauren SMITH"
"289","Jongkolphan KITITHARAKUL","Benyapa AIMSAARD","Women","Doubles",3,3,0,140,110,30,2021,"Rawinda PRAJONGJAI","Nuntakarn AIMSAARD"
"290","Gabriela STOEVA","Chloe BIRCH","Women","Doubles",3,3,0,126,75,51,2021,"Stefani STOEVA","Lauren SMITH"
"291","LEE So Hee","Vivian HOO","Women","Doubles",3,3,0,126,85,41,2021,"SHIN Seung Chan","YAP Cheng Wen"
"292","Ashwini PONNAPPA","Gabriela STOEVA","Women","Doubles",3,1,2,126,120,6,2021,"REDDY N. Sikki","Stefani STOEVA"
"293","LEE So Hee","Nita Violina MARWAH","Women","Doubles",2,2,0,112,107,5,2021,"SHIN Seung Chan","Putri SYAIKAH"
"294","Anastasiia AKCHURINA","Emilie LEFEL","Women","Doubles",2,2,0,109,95,14,2021,"Olga MOROZOVA","Anne TRAN"
"295","Chloe BIRCH","Linda EFLER","Women","Doubles",2,2,0,104,74,30,2021,"Lauren SMITH","Isabel HERTTRICH"
"296","CHEN Qingchen","KIM So Yeong","Women","Doubles",2,2,0,103,77,26,2021,"JIA Yifan","KONG Hee Yong"
"297","Chisato HOSHI","Chloe BIRCH","Women","Doubles",2,2,0,103,91,12,2021,"Aoi MATSUDA","Lauren SMITH"
"298","LEE So Hee","Maiken FRUERGAARD","Women","Doubles",2,1,1,102,93,9,2021,"SHIN Seung Chan","Sara THYGESEN"
"299","Jongkolphan KITITHARAKUL","Julie FINNE-IPSEN","Women","Doubles",2,2,0,101,84,17,2021,"Rawinda PRAJONGJAI","Mai SURROW"
"300","Alexandra BØJE","Vivian HOO","Women","Doubles",2,1,1,100,89,11,2021,"Mette POULSEN","LIM Chiew Sien"
"301","Kento MOMOTA","LEE Zii Jia","Men","Singles",4,2,2,175,167,8,2021,NA,NA
"302","PRANNOY H. S.","LIEW Daren","Men","Singles",4,3,1,162,125,37,2021,NA,NA
"303","Anders ANTONSEN","WANG Tzu Wei","Men","Singles",3,2,1,146,145,1,2021,NA,NA
"304","Viktor AXELSEN","LEE Zii Jia","Men","Singles",3,2,1,144,128,16,2021,NA,NA
"305","WANG Tzu Wei","NG Ka Long Angus","Men","Singles",3,2,1,140,106,34,2021,NA,NA
"306","Viktor AXELSEN","Anthony Sinisuka GINTING","Men","Singles",3,3,0,139,102,37,2021,NA,NA
"307","Anders ANTONSEN","Sameer VERMA","Men","Singles",3,2,1,137,126,11,2021,NA,NA
"308","LOH Kean Yew","Viktor AXELSEN","Men","Singles",3,1,2,136,129,7,2021,NA,NA
"309","Viktor AXELSEN","KIDAMBI Srikanth","Men","Singles",3,3,0,126,89,37,2021,NA,NA
"310","Viktor AXELSEN","Kunlavut VITIDSARN","Men","Singles",3,3,0,126,66,60,2021,NA,NA
"311","Anthony Sinisuka GINTING","LEE Zii Jia","Men","Singles",3,2,1,126,120,6,2021,NA,NA
"312","Viktor AXELSEN","Lakshya SEN","Men","Singles",3,3,0,126,75,51,2021,NA,NA
"313","Viktor AXELSEN","CHOU Tien Chen","Men","Singles",3,3,0,126,83,43,2021,NA,NA
"314","NG Ka Long Angus","CHOU Tien Chen","Men","Singles",2,1,1,117,108,9,2021,NA,NA
"315","Kunlavut VITIDSARN","LEE Zii Jia","Men","Singles",3,2,1,115,106,9,2021,NA,NA
"316","Kenta NISHIMOTO","CHOU Tien Chen","Men","Singles",2,1,1,114,108,6,2021,NA,NA
"317","Rasmus GEMKE","Ajay JAYARAM","Men","Singles",2,1,1,113,110,3,2021,NA,NA
"318","Viktor AXELSEN","Anders ANTONSEN","Men","Singles",3,1,2,112,92,20,2021,NA,NA
"319","KIDAMBI Srikanth","NG Ka Long Angus","Men","Singles",2,1,1,112,105,7,2021,NA,NA
"320","Anders ANTONSEN","Hans-Kristian Solberg VITTINGHUS","Men","Singles",3,2,1,111,106,5,2021,NA,NA
"321","Vladimir MALKOV","Toma Junior POPOV","Men","Singles",2,1,1,111,104,7,2021,NA,NA
"322","Kunlavut VITIDSARN","Toma Junior POPOV","Men","Singles",2,1,1,111,90,21,2021,NA,NA
"323","Jonatan CHRISTIE","LOH Kean Yew","Men","Singles",2,2,0,111,106,5,2021,NA,NA
"324","Kento MOMOTA","KIDAMBI Srikanth","Men","Singles",2,2,0,106,89,17,2021,NA,NA
"325","Hans-Kristian Solberg VITTINGHUS","Kanta TSUNEYAMA","Men","Singles",2,2,0,105,103,2,2021,NA,NA
"326","Kim ASTRUP","Mark LAMSFUSS","Men","Doubles",5,2,3,216,211,5,2021,"Anders Skaarup RASMUSSEN","Marvin SEIDEL"
"327","Takuro HOKI","Aaron CHIA","Men","Doubles",4,3,1,202,168,34,2021,"Yugo KOBAYASHI","SOH Wooi Yik"
"328","ONG Yew Sin","Satwiksairaj RANKIREDDY","Men","Doubles",4,2,2,195,187,8,2021,"TEO Ee Yi","Chirag SHETTY"
"329","Kim ASTRUP","Satwiksairaj RANKIREDDY","Men","Doubles",4,3,1,191,161,30,2021,"Anders Skaarup RASMUSSEN","Chirag SHETTY"
"330","Kim ASTRUP","Christo POPOV","Men","Doubles",4,4,0,188,130,58,2021,"Anders Skaarup RASMUSSEN","Toma Junior POPOV"
"331","Mohammad AHSAN","CHOI SolGyu","Men","Doubles",4,2,2,175,169,6,2021,"Hendra SETIAWAN","SEO Seung Jae"
"332","Marcus Fernaldi GIDEON","LEE Yang","Men","Doubles",3,2,1,162,156,6,2021,"Kevin Sanjaya SUKAMULJO","WANG Chi-Lin"
"333","Takuro HOKI","Kim ASTRUP","Men","Doubles",3,3,0,159,134,25,2021,"Yugo KOBAYASHI","Anders Skaarup RASMUSSEN"
"334","Marcus Fernaldi GIDEON","ONG Yew Sin","Men","Doubles",3,3,0,159,133,26,2021,"Kevin Sanjaya SUKAMULJO","TEO Ee Yi"
"335","Mohammad AHSAN","Aaron CHIA","Men","Doubles",3,2,1,154,143,11,2021,"Hendra SETIAWAN","SOH Wooi Yik"
"336","Marcus Fernaldi GIDEON","Takuro HOKI","Men","Doubles",3,1,2,147,146,1,2021,"Kevin Sanjaya SUKAMULJO","Yugo KOBAYASHI"
"337","LEE Yang","Mohammad AHSAN","Men","Doubles",3,3,0,143,112,31,2021,"WANG Chi-Lin","Hendra SETIAWAN"
"338","LEE Yang","ONG Yew Sin","Men","Doubles",3,2,1,142,130,12,2021,"WANG Chi-Lin","TEO Ee Yi"
"339","Takuro HOKI","ONG Yew Sin","Men","Doubles",3,3,0,138,105,33,2021,"Yugo KOBAYASHI","TEO Ee Yi"
"340","Aaron CHIA","Marcus Fernaldi GIDEON","Men","Doubles",3,2,1,137,116,21,2021,"SOH Wooi Yik","Kevin Sanjaya SUKAMULJO"
"341","LEE Yang","Ben LANE","Men","Doubles",3,3,0,127,100,27,2021,"WANG Chi-Lin","Sean VENDY"
"342","ONG Yew Sin","GOH Sze Fei","Men","Doubles",2,2,0,125,113,12,2021,"TEO Ee Yi","Nur IZZUDDIN"
"343","ONG Yew Sin","Joel EIPE","Men","Doubles",3,3,0,123,92,31,2021,"TEO Ee Yi","Rasmus KJÆR"
"344","Kim ASTRUP","GOH Sze Fei","Men","Doubles",2,2,0,123,98,25,2021,"Anders Skaarup RASMUSSEN","Nur IZZUDDIN"
"345","Takuro HOKI","Akira KOGA","Men","Doubles",3,2,1,112,111,1,2021,"Yugo KOBAYASHI","Taichi SAITO"
"346","Marcus Fernaldi GIDEON","Kim ASTRUP","Men","Doubles",2,2,0,112,94,18,2021,"Kevin Sanjaya SUKAMULJO","Anders Skaarup RASMUSSEN"
"347","Takuro HOKI","Mohammad AHSAN","Men","Doubles",2,2,0,112,105,7,2021,"Yugo KOBAYASHI","Hendra SETIAWAN"
"348","Satwiksairaj RANKIREDDY","LEE Jhe-Huei","Men","Doubles",2,2,0,108,93,15,2021,"Chirag SHETTY","YANG Po-Hsuan"
"349","ONG Yew Sin","Phillip CHEW","Men","Doubles",2,2,0,105,66,39,2021,"TEO Ee Yi","Ryan CHEW"
"350","Kim ASTRUP","Vladimir IVANOV","Men","Doubles",2,2,0,104,78,26,2021,"Anders Skaarup RASMUSSEN","Ivan SOZONOV"
"351","Dechapol PUAVARANUKROH","Praveen JORDAN","Mixed","Doubles",5,5,0,274,226,48,2021,"Sapsiree TAERATTANACHAI","Melati Daeva OKTAVIANTI"
"352","Dechapol PUAVARANUKROH","Yuta WATANABE","Mixed","Doubles",6,3,3,242,224,18,2021,"Sapsiree TAERATTANACHAI","Arisa HIGASHINO"
"353","Yuta WATANABE","TAN Kian Meng","Mixed","Doubles",5,5,0,241,184,57,2021,"Arisa HIGASHINO","LAI Pei Jing"
"354","Yuta WATANABE","Mathias CHRISTIANSEN","Mixed","Doubles",5,5,0,230,163,67,2021,"Arisa HIGASHINO","Alexandra BØJE"
"355","Yuta WATANABE","TANG Chun Man","Mixed","Doubles",4,3,1,204,172,32,2021,"Arisa HIGASHINO","TSE Ying Suet"
"356","Dechapol PUAVARANUKROH","GOH Soon Huat","Mixed","Doubles",4,4,0,188,135,53,2021,"Sapsiree TAERATTANACHAI","LAI Shevon Jemie"
"357","Dechapol PUAVARANUKROH","SEO Seung Jae","Mixed","Doubles",4,3,1,187,183,4,2021,"Sapsiree TAERATTANACHAI","CHAE YuJung"
"358","Dechapol PUAVARANUKROH","KO Sung Hyun","Mixed","Doubles",3,3,0,176,146,30,2021,"Sapsiree TAERATTANACHAI","EOM Hye Won"
"359","Mathias CHRISTIANSEN","Marcus ELLIS","Mixed","Doubles",4,3,1,175,167,8,2021,"Alexandra BØJE","Lauren SMITH"
"360","Dechapol PUAVARANUKROH","TANG Chun Man","Mixed","Doubles",3,3,0,161,116,45,2021,"Sapsiree TAERATTANACHAI","TSE Ying Suet"
"361","Dechapol PUAVARANUKROH","CHEN Tang Jie","Mixed","Doubles",3,3,0,144,121,23,2021,"Sapsiree TAERATTANACHAI","PECK Yen Wei"
"362","Dechapol PUAVARANUKROH","HOO Pang Ron","Mixed","Doubles",3,3,0,144,107,37,2021,"Sapsiree TAERATTANACHAI","CHEAH Yee See"
"363","TANG Chun Man","Mark LAMSFUSS","Mixed","Doubles",4,2,2,143,123,20,2021,"TSE Ying Suet","Isabel HERTTRICH"
"364","Thom GICQUEL","Mikkel MIKKELSEN","Mixed","Doubles",3,3,0,140,111,29,2021,"Delphine DELRUE","Rikke SØBY"
"365","Thom GICQUEL","Rodion ALIMOV","Mixed","Doubles",3,1,2,132,130,2,2021,"Delphine DELRUE","Alina DAVLETOVA"
"366","Niclas NOHR","LEE Jhe-Huei","Mixed","Doubles",2,1,1,131,122,9,2021,"Amalie MAGELUND","HSU Ya Ching"
"367","Yuta WATANABE","HOO Pang Ron","Mixed","Doubles",3,3,0,126,89,37,2021,"Arisa HIGASHINO","CHEAH Yee See"
"368","Dechapol PUAVARANUKROH","Robin TABELING","Mixed","Doubles",3,3,0,126,96,30,2021,"Sapsiree TAERATTANACHAI","Selena PIEK"
"369","Mathias CHRISTIANSEN","Praveen JORDAN","Mixed","Doubles",3,1,2,124,123,1,2021,"Alexandra BØJE","Melati Daeva OKTAVIANTI"
"370","WANG Yilyu","Yuta WATANABE","Mixed","Doubles",2,1,1,118,110,8,2021,"HUANG Dongping","Arisa HIGASHINO"
"371","CHAN Peng Soon","Mathias CHRISTIANSEN","Mixed","Doubles",2,1,1,116,110,6,2021,"GOH Liu Ying","Alexandra BØJE"
"372","Dechapol PUAVARANUKROH","Marcus ELLIS","Mixed","Doubles",3,2,1,115,96,19,2021,"Sapsiree TAERATTANACHAI","Lauren SMITH"
"373","Satwiksairaj RANKIREDDY","Hafiz FAIZAL","Mixed","Doubles",2,2,0,111,84,27,2021,"Ashwini PONNAPPA","Gloria Emanuelle WIDJAJA"
"374","Rodion ALIMOV","Robin TABELING","Mixed","Doubles",2,2,0,106,91,15,2021,"Alina DAVLETOVA","Selena PIEK"
"375","Supak JOMKOH","TAN Kian Meng","Mixed","Doubles",2,2,0,106,90,16,2021,"Supissara PAEWSAMPRAN","LAI Pei Jing"
"376","Lianne TAN","Sabrina JAQUET","Women","Singles",3,3,0,150,150,0,2020,NA,NA
"377","Sabrina JAQUET","Lianne TAN","Women","Singles",3,0,3,150,150,0,2020,NA,NA
"378","Carolina MARIN","Akane YAMAGUCHI","Women","Singles",3,2,1,147,111,36,2020,NA,NA
"379","Akane YAMAGUCHI","Gregoria Mariska TUNJUNG","Women","Singles",3,3,0,145,119,26,2020,NA,NA
"380","Akane YAMAGUCHI","Se Young AN","Women","Singles",2,2,0,106,96,10,2020,NA,NA
"381","Busanan ONGBAMRUNGPHAN","Pornpawee CHOCHUWONG","Women","Singles",2,1,1,106,105,1,2020,NA,NA
"382","Kirsty GILMOUR","Yvonne LI","Women","Singles",2,2,0,103,82,21,2020,NA,NA
"383","SUNG Ji Hyun","Pornpawee CHOCHUWONG","Women","Singles",2,1,1,102,93,9,2020,NA,NA
"384","Ruselli HARTAWAN","PAI Yu Po","Women","Singles",2,2,0,99,91,8,2020,NA,NA
"385","Gregoria Mariska TUNJUNG","Busanan ONGBAMRUNGPHAN","Women","Singles",2,2,0,98,70,28,2020,NA,NA
"386","PUSARLA V. Sindhu","Aya OHORI","Women","Singles",2,2,0,98,72,26,2020,NA,NA
"387","Yvonne LI","Kristin KUUBA","Women","Singles",2,2,0,97,74,23,2020,NA,NA
"388","Akane YAMAGUCHI","Soniia CHEAH","Women","Singles",2,1,1,97,90,7,2020,NA,NA
"389","Carolina MARIN","Pornpawee CHOCHUWONG","Women","Singles",2,1,1,97,73,24,2020,NA,NA
"390","HE Bingjiao","KIM Ga Eun","Women","Singles",2,2,0,97,80,17,2020,NA,NA
"391","Ratchanok INTANON","WANG Zhiyi","Women","Singles",2,1,1,96,95,1,2020,NA,NA
"392","CHEN Yufei","Line Højmark KJAERSFELDT","Women","Singles",2,1,1,94,88,6,2020,NA,NA
"393","Ratchanok INTANON","Aya OHORI","Women","Singles",2,1,1,91,80,11,2020,NA,NA
"394","Se Young AN","Kirsty GILMOUR","Women","Singles",2,2,0,84,57,27,2020,NA,NA
"395","Neslihan YIGIT","Airi MIKKELA","Women","Singles",2,2,0,84,42,42,2020,NA,NA
"396","Carolina MARIN","Natalia PERMINOVA","Women","Singles",2,2,0,84,41,43,2020,NA,NA
"397","Nozomi OKUHARA","Michelle LI","Women","Singles",2,2,0,84,41,43,2020,NA,NA
"398","Carolina MARIN","Nozomi OKUHARA","Women","Singles",2,1,1,78,70,8,2020,NA,NA
"399","Carolina MARIN","Kirsty GILMOUR","Women","Singles",2,1,1,76,70,6,2020,NA,NA
"400","CHEN Yufei","TAI Tzu Ying","Women","Singles",2,1,1,76,69,7,2020,NA,NA
"401","CHEN Qingchen","Nami MATSUYAMA","Women","Doubles",3,1,2,123,121,2,2020,"JIA Yifan","Chiharu SHIDA"
"402","Vivian HOO","CHOW Mei Kuan","Women","Doubles",2,1,1,115,110,5,2020,"YAP Cheng Wen","LEE Meng Yean"
"403","HSU Ya Ching","Alexandra BØJE","Women","Doubles",2,2,0,105,94,11,2020,"HU Ling Fang","Mette POULSEN"
"404","Yuki FUKUSHIMA","LI Wenmei","Women","Doubles",2,1,1,102,95,7,2020,"Sayaka HIROTA","ZHENG Yu"
"405","LI Wenmei","KIM So Yeong","Women","Doubles",2,1,1,97,86,11,2020,"ZHENG Yu","KONG Hee Yong"
"406","LEE So Hee","CHANG Ye Na","Women","Doubles",2,1,1,96,93,3,2020,"SHIN Seung Chan","KIM Hye Rin"
"407","KIM So Yeong","HSU Ya Ching","Women","Doubles",2,2,0,86,64,22,2020,"KONG Hee Yong","HU Ling Fang"
"408","Gabriela STOEVA","Alexandra BØJE","Women","Doubles",2,2,0,84,44,40,2020,"Stefani STOEVA","Mette POULSEN"
"409","CHEN Qingchen","Gabriela STOEVA","Women","Doubles",2,2,0,84,49,35,2020,"JIA Yifan","Stefani STOEVA"
"410","Siti Fadia Silva RAMADHANTI","Pooja DANDU","Women","Doubles",2,2,0,84,47,37,2020,"Ribka SUGIARTO","SANJANA SANTOSH"
"411","DU Yue","CHOW Mei Kuan","Women","Doubles",2,2,0,84,57,27,2020,"LI Yinhui","LEE Meng Yean"
"412","CHANG Ye Na","Greysia POLII","Women","Doubles",2,1,1,80,74,6,2020,"KIM Hye Rin","Apriyani RAHAYU"
"413","Puttita SUPAJIRAKUL","DU Yue","Women","Doubles",2,1,1,74,71,3,2020,"Sapsiree TAERATTANACHAI","LI Yinhui"
"414","LEE So Hee","BAEK Ha Na","Women","Doubles",1,1,0,71,64,7,2020,"SHIN Seung Chan","JUNG Kyung Eun"
"415","LEE So Hee","Ekaterina BOLOTOVA","Women","Doubles",1,1,0,67,61,6,2020,"SHIN Seung Chan","Alina DAVLETOVA"
"416","Misaki MATSUTOMO","LEE So Hee","Women","Doubles",1,1,0,67,52,15,2020,"Ayaka TAKAHASHI","SHIN Seung Chan"
"417","Maiken FRUERGAARD","Clara NISTAD","Women","Doubles",1,1,0,64,56,8,2020,"Sara THYGESEN","Moa SJOO"
"418","Alexandra BØJE","Linda EFLER","Women","Doubles",1,1,0,64,59,5,2020,"Mette POULSEN","Isabel HERTTRICH"
"419","Greysia POLII","LIU Xuanxuan","Women","Doubles",1,1,0,64,56,8,2020,"Apriyani RAHAYU","XIA Yuting"
"420","Greysia POLII","BAEK Ha Na","Women","Doubles",1,1,0,64,60,4,2020,"Apriyani RAHAYU","JUNG Kyung Eun"
"421","KIM So Yeong","Chayanit CHALADCHALAM","Women","Doubles",1,1,0,63,55,8,2020,"KONG Hee Yong","Phataimas MUENWONG"
"422","Martina REPISKA","Liana LENCEVICA","Women","Doubles",1,1,0,63,60,3,2020,"Katarina VARGOVA","Jekaterina ROMANOVA"
"423","CHANG Ye Na","Vivian HOO","Women","Doubles",1,1,0,63,54,9,2020,"KIM Hye Rin","YAP Cheng Wen"
